issue,draw_time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
20260422155,2026-04-23 01:59:00,02,07,04,03,01,08,05,10,06,09
20260422156,2026-04-23 02:04:00,08,07,06,10,04,01,09,05,02,03
20260422157,2026-04-23 02:09:00,03,05,04,02,01,07,09,08,10,06
20260422158,2026-04-23 02:14:00,09,02,06,10,08,03,07,04,01,05
20260422159,2026-04-23 02:19:00,04,01,03,10,07,02,06,08,05,09
20260422160,2026-04-23 02:24:00,06,07,03,05,02,09,08,04,10,01
20260422161,2026-04-23 02:29:00,08,01,09,03,04,10,05,06,07,02
20260422162,2026-04-23 02:34:00,09,04,02,03,10,06,05,01,08,07
20260422163,2026-04-23 02:39:00,06,02,05,03,09,10,08,04,07,01
20260422164,2026-04-23 02:44:00,05,08,04,07,09,06,10,03,02,01
20260422165,2026-04-23 02:49:00,10,05,06,01,02,08,04,07,03,09
20260422166,2026-04-23 02:54:00,10,03,02,06,08,01,05,09,04,07
20260422167,2026-04-23 02:59:00,06,01,03,08,09,10,04,02,07,05
20260422168,2026-04-23 03:04:00,04,01,05,02,08,09,07,03,06,10
20260422169,2026-04-23 03:09:00,06,04,10,07,08,01,03,05,02,09
20260422170,2026-04-23 03:14:00,01,09,04,08,05,06,10,07,03,02
20260422171,2026-04-23 03:19:00,03,01,04,02,05,07,08,09,06,10
20260422172,2026-04-23 03:24:00,08,03,09,04,02,10,07,06,05,01
20260422173,2026-04-23 03:29:00,03,08,10,07,02,09,04,05,01,06
20260422174,2026-04-23 03:34:00,03,05,07,06,08,02,09,04,01,10
20260422175,2026-04-23 03:39:00,09,02,07,01,06,04,08,05,03,10
20260422176,2026-04-23 03:44:00,07,10,03,09,05,04,02,01,08,06
20260422177,2026-04-23 03:49:00,03,01,09,02,04,05,07,08,06,10
20260422178,2026-04-23 03:54:00,08,03,10,02,09,05,01,07,04,06
20260422179,2026-04-23 03:59:00,01,03,08,04,10,02,07,05,06,09
20260422180,2026-04-23 04:04:00,09,04,10,03,08,05,01,07,02,06
20260423001,2026-04-23 13:09:00,03,01,05,02,08,07,10,04,06,09
20260423002,2026-04-23 13:14:00,02,04,10,07,01,05,03,09,06,08
20260423003,2026-04-23 13:19:00,05,10,04,03,02,07,09,01,08,06
20260423004,2026-04-23 13:24:00,10,01,07,05,08,09,06,03,02,04
20260423005,2026-04-23 13:29:00,07,01,02,08,05,10,04,06,09,03
20260423006,2026-04-23 13:34:00,09,06,04,03,07,08,01,02,05,10
20260423007,2026-04-23 13:39:00,07,05,06,01,10,02,04,08,03,09
20260423008,2026-04-23 13:44:00,02,04,03,07,08,06,10,01,05,09
20260423009,2026-04-23 13:49:00,04,09,07,02,01,10,03,05,06,08
20260423010,2026-04-23 13:54:00,08,06,10,04,02,07,05,09,03,01
20260423011,2026-04-23 13:59:00,03,05,08,01,02,04,09,06,10,07
20260423012,2026-04-23 14:04:00,10,07,03,06,04,05,02,09,08,01
20260423013,2026-04-23 14:09:00,06,02,08,09,01,05,07,04,10,03
20260423014,2026-04-23 14:14:00,09,10,06,07,03,02,08,05,01,04
20260423015,2026-04-23 14:19:00,01,09,08,07,10,04,02,06,05,03
20260423016,2026-04-23 14:24:00,03,09,07,01,06,02,05,04,08,10
20260423017,2026-04-23 14:29:00,08,04,06,07,01,02,09,10,03,05
20260423018,2026-04-23 14:34:00,01,08,03,09,04,10,07,05,06,02
20260423019,2026-04-23 14:39:00,05,08,07,03,04,10,06,09,01,02
20260423020,2026-04-23 14:44:00,08,02,05,03,04,09,10,01,06,07
20260423021,2026-04-23 14:49:00,01,04,03,07,08,06,10,02,09,05
20260423022,2026-04-23 14:54:00,03,01,10,08,07,04,02,09,05,06
20260423023,2026-04-23 14:59:00,01,02,08,03,04,10,09,06,07,05
20260423024,2026-04-23 15:04:00,09,10,07,06,02,04,05,08,03,01
20260423025,2026-04-23 15:09:00,09,06,05,08,03,07,04,01,02,10
20260423026,2026-04-23 15:14:00,08,02,07,03,04,05,09,10,01,06
20260423027,2026-04-23 15:19:00,04,07,10,08,02,01,09,03,05,06
20260423028,2026-04-23 15:24:00,07,10,01,03,04,06,05,08,02,09
20260423029,2026-04-23 15:29:00,10,02,03,04,09,08,05,06,07,01
20260423030,2026-04-23 15:34:00,04,07,08,02,09,06,10,05,03,01
20260423031,2026-04-23 15:39:00,07,09,05,03,02,10,01,06,08,04
20260423032,2026-04-23 15:44:00,09,08,02,07,06,01,04,10,03,05
20260423033,2026-04-23 15:49:00,08,07,09,10,04,05,01,03,02,06
20260423034,2026-04-23 15:54:00,05,06,02,08,07,01,09,04,03,10
20260423035,2026-04-23 15:59:00,03,05,07,08,10,06,02,09,01,04
20260423036,2026-04-23 16:04:00,03,08,10,01,06,05,09,02,04,07
20260423037,2026-04-23 16:09:00,05,07,10,09,02,03,04,08,06,01
20260423038,2026-04-23 16:14:00,05,07,06,01,10,09,04,08,03,02
20260423039,2026-04-23 16:19:00,06,10,02,05,08,03,04,09,07,01
20260423040,2026-04-23 16:24:00,02,06,04,03,01,10,07,08,05,09
20260423041,2026-04-23 16:29:00,07,08,02,04,01,09,05,10,06,03
20260423042,2026-04-23 16:34:00,04,01,10,03,08,06,02,09,07,05
20260423043,2026-04-23 16:39:00,01,02,03,09,04,10,06,07,05,08
20260423044,2026-04-23 16:44:00,01,07,04,02,03,08,10,05,09,06
20260423045,2026-04-23 16:49:00,04,02,08,06,07,10,03,05,09,01
20260423046,2026-04-23 16:54:00,02,06,10,03,08,09,01,07,05,04
20260423047,2026-04-23 16:59:00,06,07,04,01,02,10,03,05,09,08
20260423048,2026-04-23 17:04:00,10,07,04,05,02,08,03,09,06,01
20260423049,2026-04-23 17:09:00,01,02,09,03,07,08,04,10,05,06
20260423050,2026-04-23 17:14:00,03,08,10,01,06,07,04,02,05,09
20260423051,2026-04-23 17:19:00,09,10,02,06,01,07,04,08,05,03
20260423052,2026-04-23 17:24:00,03,04,02,05,08,09,07,10,06,01
20260423053,2026-04-23 17:29:00,09,04,10,06,08,03,01,07,02,05
20260423054,2026-04-23 17:34:00,09,05,07,06,04,02,08,01,03,10
20260423055,2026-04-23 17:39:00,05,02,06,01,04,08,03,07,09,10
20260423056,2026-04-23 17:44:00,08,04,02,09,06,03,05,07,10,01
20260423057,2026-04-23 17:49:00,10,08,03,07,02,06,09,01,04,05
20260423058,2026-04-23 17:54:00,10,07,06,04,02,03,08,01,09,05
20260423059,2026-04-23 17:59:00,09,02,06,01,04,03,07,08,05,10
20260423060,2026-04-23 18:04:00,09,05,06,01,07,10,08,02,03,04
20260423061,2026-04-23 18:09:00,07,10,06,01,03,05,04,09,08,02
20260423062,2026-04-23 18:14:00,02,10,07,09,08,03,06,05,04,01
20260423063,2026-04-23 18:19:00,06,07,08,05,10,04,02,01,03,09
20260423064,2026-04-23 18:24:00,09,03,06,04,07,08,05,01,02,10
20260423065,2026-04-23 18:29:00,10,04,06,03,01,05,02,07,09,08
20260423066,2026-04-23 18:34:00,02,03,06,01,05,08,07,09,04,10
20260423067,2026-04-23 18:39:00,01,05,02,07,03,04,10,06,08,09
20260423068,2026-04-23 18:44:00,05,10,03,01,09,04,08,07,06,02
20260423069,2026-04-23 18:49:00,06,07,03,10,02,05,04,09,08,01
20260423070,2026-04-23 18:54:00,10,08,02,01,09,07,03,05,04,06
20260423071,2026-04-23 18:59:00,02,10,05,06,04,09,07,01,08,03
20260423072,2026-04-23 19:04:00,04,07,05,03,10,08,02,01,09,06
20260423073,2026-04-23 19:09:00,01,03,09,05,04,06,02,10,08,07
20260423074,2026-04-23 19:14:00,09,10,01,06,02,03,05,07,04,08
20260423075,2026-04-23 19:19:00,06,10,01,02,08,03,09,04,07,05
20260423076,2026-04-23 19:24:00,04,03,05,02,08,06,07,01,10,09
20260423077,2026-04-23 19:29:00,10,03,05,06,02,01,07,09,04,08
20260423078,2026-04-23 19:34:00,02,10,08,09,06,01,03,04,05,07
20260423079,2026-04-23 19:39:00,10,03,01,09,06,05,04,08,02,07
20260423080,2026-04-23 19:44:00,01,09,08,05,10,04,02,07,03,06
20260423081,2026-04-23 19:49:00,07,01,08,06,05,04,03,02,09,10
20260423082,2026-04-23 19:54:00,03,07,08,04,10,09,01,06,05,02
20260423083,2026-04-23 19:59:00,07,01,10,02,03,04,05,06,09,08
20260423084,2026-04-23 20:04:00,08,02,06,07,03,01,05,10,04,09
20260423085,2026-04-23 20:09:00,07,10,01,09,04,06,03,02,08,05
20260423086,2026-04-23 20:14:00,04,08,06,07,10,05,03,01,02,09
20260423087,2026-04-23 20:19:00,04,08,02,09,06,03,10,01,07,05
20260423088,2026-04-23 20:24:00,03,07,10,05,09,04,02,08,06,01
20260423089,2026-04-23 20:29:00,04,02,03,01,08,10,09,05,06,07
20260423090,2026-04-23 20:34:00,08,01,03,06,05,04,10,02,07,09
20260423091,2026-04-23 20:39:00,09,07,06,05,01,08,04,02,03,10
20260423092,2026-04-23 20:44:00,02,01,06,03,08,05,09,04,10,07
20260423093,2026-04-23 20:49:00,09,05,08,01,02,07,10,04,03,06
20260423094,2026-04-23 20:54:00,03,06,07,05,02,01,04,10,09,08
20260423095,2026-04-23 20:59:00,06,04,07,09,02,08,01,03,05,10
20260423096,2026-04-23 21:04:00,05,01,04,10,02,08,09,06,07,03
20260423097,2026-04-23 21:09:00,05,10,06,03,02,08,04,09,07,01
20260423098,2026-04-23 21:14:00,02,05,08,10,01,03,07,06,04,09
20260423099,2026-04-23 21:19:00,09,07,04,10,08,06,03,05,02,01
20260423100,2026-04-23 21:24:00,03,05,06,10,07,04,02,01,08,09
20260423101,2026-04-23 21:29:00,10,06,07,09,03,04,02,08,05,01
20260423102,2026-04-23 21:34:00,09,03,06,08,01,02,05,07,10,04
20260423103,2026-04-23 21:39:00,04,02,06,10,08,07,03,05,09,01
20260423104,2026-04-23 21:44:00,07,08,01,10,05,02,03,09,06,04
20260423105,2026-04-23 21:49:00,06,03,09,04,05,10,08,02,01,07
20260423106,2026-04-23 21:54:00,04,01,02,10,07,09,05,03,08,06
20260423107,2026-04-23 21:59:00,06,08,07,09,01,04,05,02,10,03
20260423108,2026-04-23 22:04:00,04,07,06,08,10,09,05,02,03,01
20260423109,2026-04-23 22:09:00,10,03,01,04,09,07,02,06,05,08
20260423110,2026-04-23 22:14:00,08,02,06,01,07,05,10,04,03,09
20260423111,2026-04-23 22:19:00,03,04,09,02,10,07,01,06,05,08
20260423112,2026-04-23 22:24:00,08,07,02,09,03,06,05,04,01,10
20260423113,2026-04-23 22:29:00,07,10,05,09,03,04,08,01,06,02
20260423114,2026-04-23 22:34:00,03,07,10,06,04,08,09,02,01,05
20260423115,2026-04-23 22:39:00,10,05,09,04,01,07,02,03,06,08
20260423116,2026-04-23 22:44:00,08,10,04,07,03,09,02,05,06,01
20260423117,2026-04-23 22:49:00,01,04,05,03,06,09,10,07,02,08
20260423118,2026-04-23 22:54:00,03,04,07,01,05,02,08,09,06,10
20260423119,2026-04-23 22:59:00,02,03,10,05,04,07,08,01,09,06
20260423120,2026-04-23 23:04:00,07,03,04,01,05,09,02,06,10,08
20260423121,2026-04-23 23:09:00,02,08,10,04,03,09,01,07,06,05
20260423122,2026-04-23 23:14:00,09,10,08,04,06,07,01,05,02,03
20260423123,2026-04-23 23:19:00,10,03,08,02,04,06,07,09,01,05
20260423124,2026-04-23 23:24:00,02,07,03,01,05,09,04,06,10,08
20260423125,2026-04-23 23:29:00,06,08,07,05,09,02,03,04,10,01
20260423126,2026-04-23 23:34:00,01,07,04,03,09,02,08,06,10,05
20260423127,2026-04-23 23:39:00,07,02,03,08,09,10,05,01,04,06
20260423128,2026-04-23 23:44:00,05,10,08,02,03,04,07,06,09,01
20260423129,2026-04-23 23:49:00,01,07,08,10,09,04,03,05,06,02
20260423130,2026-04-23 23:54:00,03,02,04,06,10,05,01,09,08,07
20260423131,2026-04-23 23:59:00,02,10,07,09,08,03,05,06,01,04
20260423132,2026-04-24 00:04:00,08,04,06,03,05,10,02,09,01,07
20260423133,2026-04-24 00:09:00,10,06,07,05,08,03,02,01,09,04
20260423134,2026-04-24 00:14:00,09,04,05,07,06,08,10,02,01,03
20260423135,2026-04-24 00:19:00,01,02,10,07,08,09,04,03,05,06
20260423136,2026-04-24 00:24:00,06,05,01,08,10,09,02,04,03,07
20260423137,2026-04-24 00:29:00,02,05,01,06,04,08,07,03,10,09
20260423138,2026-04-24 00:34:00,08,01,09,06,10,04,07,03,05,02
20260423139,2026-04-24 00:39:00,08,07,06,05,09,02,04,03,10,01
20260423140,2026-04-24 00:44:00,06,03,09,01,07,10,04,05,08,02
20260423141,2026-04-24 00:49:00,02,10,05,03,07,01,08,04,06,09
20260423142,2026-04-24 00:54:00,03,09,07,01,06,05,04,02,08,10
20260423143,2026-04-24 00:59:00,07,05,06,03,09,10,04,02,08,01
20260423144,2026-04-24 01:04:00,10,07,09,02,06,05,01,04,03,08
20260423145,2026-04-24 01:09:00,08,02,07,05,09,06,03,10,01,04
20260423146,2026-04-24 01:14:00,09,05,02,07,08,06,03,04,10,01
20260423147,2026-04-24 01:19:00,03,02,09,05,06,07,10,08,01,04
20260423148,2026-04-24 01:24:00,06,10,04,03,01,02,07,08,09,05
20260423149,2026-04-24 01:29:00,05,07,09,04,10,01,08,03,06,02
20260423150,2026-04-24 01:34:00,02,05,04,08,01,07,10,09,06,03
20260423151,2026-04-24 01:39:00,05,10,08,04,01,07,03,06,09,02
20260423152,2026-04-24 01:44:00,09,10,01,05,04,08,06,07,02,03
20260423153,2026-04-24 01:49:00,09,07,01,02,10,04,06,03,08,05
20260423154,2026-04-24 01:54:00,07,04,05,03,08,09,02,06,01,10
20260423155,2026-04-24 01:59:00,02,08,04,10,06,07,05,09,03,01
20260423156,2026-04-24 02:04:00,04,05,01,10,08,02,09,03,07,06
20260423157,2026-04-24 02:09:00,09,05,02,08,06,04,01,03,07,10
20260423158,2026-04-24 02:14:00,09,10,07,08,05,01,03,04,06,02
20260423159,2026-04-24 02:19:00,01,08,03,09,05,07,10,06,04,02
20260423160,2026-04-24 02:24:00,10,01,05,07,06,02,04,09,08,03
20260423161,2026-04-24 02:29:00,06,08,10,05,07,09,02,03,04,01
20260423162,2026-04-24 02:34:00,08,01,03,04,02,06,05,10,09,07
20260423163,2026-04-24 02:39:00,06,04,01,03,07,09,10,05,08,02
20260423164,2026-04-24 02:44:00,05,06,02,07,04,10,08,09,01,03
20260423165,2026-04-24 02:49:00,05,04,02,09,06,07,01,10,08,03
20260423166,2026-04-24 02:54:00,07,10,08,09,01,06,05,04,03,02
20260423167,2026-04-24 02:59:00,10,07,01,04,02,06,05,08,09,03
20260423168,2026-04-24 03:04:00,10,03,09,02,04,07,01,08,06,05
20260423169,2026-04-24 03:09:00,03,05,08,10,09,02,07,06,01,04
20260423170,2026-04-24 03:14:00,07,02,03,05,10,04,06,09,01,08
20260423171,2026-04-24 03:19:00,02,07,10,09,04,08,03,06,05,01
20260423172,2026-04-24 03:24:00,08,06,09,05,07,03,04,01,02,10
20260423173,2026-04-24 03:29:00,03,02,09,07,08,05,10,04,06,01
20260423174,2026-04-24 03:34:00,01,02,07,08,03,09,06,05,10,04
20260423175,2026-04-24 03:39:00,03,01,09,10,05,07,08,04,02,06
20260423176,2026-04-24 03:44:00,03,02,07,09,01,08,06,05,10,04
20260423177,2026-04-24 03:49:00,09,03,08,06,04,05,01,02,10,07
20260423178,2026-04-24 03:54:00,08,04,09,10,01,07,05,06,03,02
20260423179,2026-04-24 03:59:00,01,05,09,08,10,03,07,04,02,06
20260423180,2026-04-24 04:04:00,06,05,07,02,08,03,09,04,10,01
20260424001,2026-04-24 13:09:00,01,09,08,10,04,05,07,06,02,03
20260424002,2026-04-24 13:14:00,10,01,08,07,05,04,02,09,06,03
20260424003,2026-04-24 13:19:00,03,09,08,05,01,06,02,10,07,04
20260424004,2026-04-24 13:24:00,04,01,07,09,03,05,08,06,02,10
20260424005,2026-04-24 13:29:00,10,01,03,09,05,04,02,07,06,08
20260424006,2026-04-24 13:34:00,05,06,08,10,03,09,04,01,07,02
20260424007,2026-04-24 13:39:00,10,08,09,05,04,02,03,01,06,07
20260424008,2026-04-24 13:44:00,09,03,10,02,08,07,05,06,04,01
20260424009,2026-04-24 13:49:00,04,03,07,05,09,08,02,01,06,10
20260424010,2026-04-24 13:54:00,06,10,01,07,09,02,04,05,03,08
20260424011,2026-04-24 13:59:00,03,01,09,08,04,05,07,06,10,02
20260424012,2026-04-24 14:04:00,01,04,06,08,07,03,10,02,09,05
20260424013,2026-04-24 14:09:00,10,08,06,05,01,03,09,07,02,04
20260424014,2026-04-24 14:14:00,04,06,02,07,03,09,01,08,10,05
20260424015,2026-04-24 14:19:00,05,06,04,08,09,07,01,02,10,03
20260424016,2026-04-24 14:24:00,02,06,05,03,10,09,08,07,04,01
20260424017,2026-04-24 14:29:00,07,01,05,04,09,08,10,02,06,03
20260424018,2026-04-24 14:34:00,03,05,01,07,10,06,02,08,09,04
20260424019,2026-04-24 14:39:00,07,02,06,03,08,04,09,05,01,10
20260424020,2026-04-24 14:44:00,07,08,05,03,02,06,10,01,09,04
20260424021,2026-04-24 14:49:00,01,07,03,10,02,08,05,06,09,04
20260424022,2026-04-24 14:54:00,02,06,10,04,03,01,08,09,07,05
20260424023,2026-04-24 14:59:00,01,08,06,03,07,04,02,05,09,10
20260424024,2026-04-24 15:04:00,10,07,04,02,05,06,01,09,08,03
20260424025,2026-04-24 15:09:00,06,09,10,04,03,02,08,01,05,07
20260424026,2026-04-24 15:14:00,09,04,07,01,10,02,03,05,06,08
20260424027,2026-04-24 15:19:00,08,05,02,10,04,01,03,07,06,09
20260424028,2026-04-24 15:24:00,01,04,09,03,06,08,02,10,05,07
20260424029,2026-04-24 15:29:00,09,03,05,02,07,08,04,06,10,01
20260424030,2026-04-24 15:34:00,01,09,07,03,05,10,06,02,04,08
20260424031,2026-04-24 15:39:00,07,01,03,09,02,06,08,05,10,04
20260424032,2026-04-24 15:44:00,01,08,02,07,04,09,10,05,06,03
20260424033,2026-04-24 15:49:00,03,06,10,08,05,02,07,01,04,09
20260424034,2026-04-24 15:54:00,02,06,10,01,04,03,09,07,05,08
20260424035,2026-04-24 15:59:00,06,05,09,01,04,08,02,03,07,10
20260424036,2026-04-24 16:04:00,08,04,09,02,01,10,06,05,07,03
20260424037,2026-04-24 16:09:00,07,09,04,03,10,06,02,08,01,05
20260424038,2026-04-24 16:14:00,06,04,09,03,07,05,02,08,10,01
20260424039,2026-04-24 16:19:00,06,02,08,03,10,01,07,04,05,09
20260424040,2026-04-24 16:24:00,07,01,04,02,05,10,08,09,06,03
20260424041,2026-04-24 16:29:00,06,10,08,07,03,02,04,09,05,01
20260424042,2026-04-24 16:34:00,09,04,06,01,02,05,03,08,07,10
20260424043,2026-04-24 16:39:00,07,06,10,09,03,05,08,04,01,02
20260424044,2026-04-24 16:44:00,04,01,02,07,08,06,09,03,05,10
20260424045,2026-04-24 16:49:00,07,03,04,05,02,09,08,10,06,01
20260424046,2026-04-24 16:54:00,08,05,06,07,10,01,04,09,03,02
20260424047,2026-04-24 16:59:00,10,07,06,05,03,08,04,09,02,01
20260424048,2026-04-24 17:04:00,07,02,08,10,01,06,09,04,03,05
20260424049,2026-04-24 17:09:00,01,09,05,06,08,07,03,02,10,04
20260424050,2026-04-24 17:14:00,03,06,07,01,02,08,04,10,09,05
20260424051,2026-04-24 17:19:00,04,05,08,07,01,03,02,09,10,06
20260424052,2026-04-24 17:24:00,02,06,07,08,04,01,10,05,09,03
20260424053,2026-04-24 17:29:00,08,09,02,10,05,04,06,03,01,07
20260424054,2026-04-24 17:34:00,04,07,03,09,05,02,01,08,06,10
20260424055,2026-04-24 17:39:00,08,05,04,07,02,03,01,09,06,10
20260424056,2026-04-24 17:44:00,05,04,09,01,06,10,07,03,02,08
20260424057,2026-04-24 17:49:00,01,10,08,05,03,02,09,04,07,06
20260424058,2026-04-24 17:54:00,05,09,10,02,06,03,01,07,04,08
20260424059,2026-04-24 17:59:00,06,02,08,05,07,01,04,09,10,03
20260424060,2026-04-24 18:04:00,03,01,02,08,09,05,04,06,10,07
20260424061,2026-04-24 18:09:00,09,03,06,04,01,05,07,08,10,02
20260424062,2026-04-24 18:14:00,08,03,07,04,10,01,05,06,02,09
20260424063,2026-04-24 18:19:00,06,01,05,07,09,04,08,02,10,03
20260424064,2026-04-24 18:24:00,08,10,07,03,04,01,06,02,09,05
20260424065,2026-04-24 18:29:00,07,09,05,01,10,03,04,06,08,02
20260424066,2026-04-24 18:34:00,01,09,08,02,04,05,03,06,07,10
20260424067,2026-04-24 18:39:00,02,09,07,01,03,06,05,10,08,04
20260424068,2026-04-24 18:44:00,10,07,06,04,09,03,02,01,08,05
20260424069,2026-04-24 18:49:00,01,10,02,07,05,06,08,04,09,03
20260424070,2026-04-24 18:54:00,10,03,01,09,06,04,05,02,08,07
20260424071,2026-04-24 18:59:00,06,05,03,04,09,01,07,08,02,10
20260424072,2026-04-24 19:04:00,09,01,10,05,02,06,03,08,07,04
20260424073,2026-04-24 19:09:00,04,02,09,07,06,08,05,01,10,03
20260424074,2026-04-24 19:14:00,05,10,09,07,02,08,03,04,01,06
20260424075,2026-04-24 19:19:00,01,06,02,07,09,04,10,05,03,08
20260424076,2026-04-24 19:24:00,06,03,05,09,07,08,10,01,02,04
20260424077,2026-04-24 19:29:00,07,03,09,06,02,10,08,01,04,05
20260424078,2026-04-24 19:34:00,02,06,09,01,10,08,05,03,04,07
20260424079,2026-04-24 19:39:00,10,04,07,01,03,09,02,08,05,06
20260424080,2026-04-24 19:44:00,09,04,01,02,03,05,10,07,08,06
20260424081,2026-04-24 19:49:00,03,08,09,02,01,05,10,07,06,04
20260424082,2026-04-24 19:54:00,03,08,05,01,07,10,02,09,06,04
20260424083,2026-04-24 19:59:00,08,09,04,05,10,07,06,03,02,01
20260424084,2026-04-24 20:04:00,09,06,04,01,02,10,07,05,03,08
20260424085,2026-04-24 20:09:00,10,05,04,08,01,02,07,09,06,03
20260424086,2026-04-24 20:14:00,04,01,02,10,09,07,06,03,05,08
20260424087,2026-04-24 20:19:00,10,01,02,07,06,08,05,03,04,09
20260424088,2026-04-24 20:24:00,05,04,07,02,01,09,06,08,03,10
20260424089,2026-04-24 20:29:00,05,03,02,01,07,06,04,09,08,10
20260424090,2026-04-24 20:34:00,05,04,06,07,01,08,02,03,10,09
20260424091,2026-04-24 20:39:00,05,09,02,07,01,04,08,10,06,03
20260424092,2026-04-24 20:44:00,09,04,03,10,01,06,02,08,07,05
20260424093,2026-04-24 20:49:00,07,03,06,08,05,09,10,04,01,02
20260424094,2026-04-24 20:54:00,03,06,09,05,07,01,08,04,02,10
20260424095,2026-04-24 20:59:00,06,05,10,03,08,04,09,01,07,02
20260424096,2026-04-24 21:04:00,10,01,08,04,03,06,05,07,02,09
20260424097,2026-04-24 21:09:00,03,01,06,08,07,10,09,02,05,04
20260424098,2026-04-24 21:14:00,07,02,05,06,10,09,08,03,01,04
20260424099,2026-04-24 21:19:00,08,03,04,07,02,05,10,06,01,09
20260424100,2026-04-24 21:24:00,09,03,08,02,05,01,07,10,04,06
20260424101,2026-04-24 21:29:00,01,10,02,03,06,09,07,08,05,04
20260424102,2026-04-24 21:34:00,04,01,09,08,03,02,10,07,06,05
20260424103,2026-04-24 21:39:00,02,10,09,05,08,04,01,06,07,03
20260424104,2026-04-24 21:44:00,09,07,05,02,04,01,06,08,10,03
20260424105,2026-04-24 21:49:00,02,05,07,10,04,03,09,01,08,06
20260424106,2026-04-24 21:54:00,04,09,01,03,07,08,02,05,06,10
20260424107,2026-04-24 21:59:00,05,06,07,01,02,08,03,09,04,10
20260424108,2026-04-24 22:04:00,09,02,04,01,07,08,06,03,10,05
20260424109,2026-04-24 22:09:00,10,08,09,06,03,01,04,07,02,05
20260424110,2026-04-24 22:14:00,06,02,07,08,09,10,04,01,05,03
20260424111,2026-04-24 22:19:00,03,04,02,05,08,06,07,10,01,09
20260424112,2026-04-24 22:24:00,09,01,04,06,02,03,07,10,08,05
20260424113,2026-04-24 22:29:00,02,08,07,04,09,05,10,03,06,01
20260424114,2026-04-24 22:34:00,02,01,03,05,09,06,07,08,04,10
20260424115,2026-04-24 22:39:00,01,08,06,05,03,10,09,07,02,04
20260424116,2026-04-24 22:44:00,06,03,07,08,10,09,01,05,04,02
20260424117,2026-04-24 22:49:00,10,05,02,03,09,01,08,06,07,04
20260424118,2026-04-24 22:54:00,01,10,03,09,02,08,04,07,05,06
20260424119,2026-04-24 22:59:00,06,03,04,09,07,10,02,08,05,01
20260424120,2026-04-24 23:04:00,09,07,03,05,04,10,02,06,01,08
20260424121,2026-04-24 23:09:00,05,04,02,06,10,07,01,09,03,08
20260424122,2026-04-24 23:14:00,08,05,02,07,04,10,09,01,03,06
20260424123,2026-04-24 23:19:00,04,09,08,06,10,01,03,02,05,07
20260424124,2026-04-24 23:24:00,06,02,10,09,08,03,07,04,01,05
20260424125,2026-04-24 23:29:00,03,02,06,08,10,04,05,09,07,01
20260424126,2026-04-24 23:34:00,04,05,06,09,07,02,03,01,10,08
20260424127,2026-04-24 23:39:00,10,01,05,08,07,03,02,06,04,09
20260424128,2026-04-24 23:44:00,04,03,08,09,10,07,02,01,06,05
20260424129,2026-04-24 23:49:00,10,01,02,08,07,09,04,06,03,05
20260424130,2026-04-24 23:54:00,02,03,10,05,09,07,06,04,01,08
20260424131,2026-04-24 23:59:00,05,08,03,07,02,04,10,06,01,09
20260424132,2026-04-25 00:04:00,08,03,09,02,06,04,01,07,10,05
20260424133,2026-04-25 00:09:00,03,05,10,04,06,07,08,01,02,09
20260424134,2026-04-25 00:14:00,02,04,05,06,03,08,10,01,07,09
20260424135,2026-04-25 00:19:00,08,02,04,01,03,07,09,06,05,10
20260424136,2026-04-25 00:24:00,02,09,08,03,06,10,01,05,04,07
20260424137,2026-04-25 00:29:00,08,07,02,10,05,01,04,03,09,06
20260424138,2026-04-25 00:34:00,01,07,03,05,04,09,10,02,06,08
20260424139,2026-04-25 00:39:00,08,01,05,02,06,09,04,10,03,07
20260424140,2026-04-25 00:44:00,07,04,02,06,09,03,08,10,01,05
20260424141,2026-04-25 00:49:00,07,04,10,06,03,01,05,09,02,08
20260424142,2026-04-25 00:54:00,04,10,08,02,09,03,01,07,05,06
20260424143,2026-04-25 00:59:00,08,09,10,02,05,07,04,01,06,03
20260424144,2026-04-25 01:04:00,09,02,07,03,04,10,05,06,01,08
20260424145,2026-04-25 01:09:00,10,05,06,01,08,09,03,04,07,02
20260424146,2026-04-25 01:14:00,09,03,07,08,04,05,02,01,10,06
20260424147,2026-04-25 01:19:00,01,04,03,02,06,07,10,09,08,05
20260424148,2026-04-25 01:24:00,07,10,08,01,02,04,05,06,03,09
20260424149,2026-04-25 01:29:00,10,03,09,07,06,04,01,05,02,08
20260424150,2026-04-25 01:34:00,02,05,10,08,09,07,04,01,03,06
20260424151,2026-04-25 01:39:00,04,06,03,10,02,09,08,05,01,07
20260424152,2026-04-25 01:44:00,02,05,10,08,06,04,07,03,09,01
20260424153,2026-04-25 01:49:00,08,06,01,02,05,07,10,09,04,03
20260424154,2026-04-25 01:54:00,06,07,01,09,08,03,05,04,10,02
20260424155,2026-04-25 01:59:00,03,01,09,04,06,10,05,08,07,02
20260424156,2026-04-25 02:04:00,10,03,05,02,09,07,01,04,06,08
20260424157,2026-04-25 02:09:00,01,07,05,10,03,09,06,04,08,02
20260424158,2026-04-25 02:14:00,09,03,04,05,07,10,02,06,01,08
20260424159,2026-04-25 02:19:00,06,01,08,04,05,07,09,10,03,02
20260424160,2026-04-25 02:24:00,09,01,07,04,02,03,10,06,08,05
20260424161,2026-04-25 02:29:00,09,08,01,07,03,06,05,10,04,02
